time,step,price,size,side,kind
2026-09-12T18:45:46,297,989,4.720000000000002,sell,market
2026-09-12T18:45:46,302,994,19.68,buy,market
2026-09-12T18:45:46,304,989,4.4499999999999975,sell,market
2026-09-12T18:45:46,304,988,14.840000000000002,sell,market
2026-09-12T18:45:46,304,988,8.9,sell,stop
2026-09-12T18:45:46,305,988,16.31,sell,market
2026-09-12T18:45:46,305,993,16.31,buy,stop
2026-09-12T18:45:46,310,988,14.82,sell,market
2026-09-12T18:45:46,312,993,16.4,buy,market
2026-09-12T18:45:46,313,988,6.13,sell,market
2026-09-12T18:45:46,313,993,3.150000000000002,buy,stop
2026-09-12T18:45:46,313,994,2.9799999999999978,buy,stop
2026-09-12T18:45:46,313,994,3.2700000000000022,buy,stop
2026-09-12T18:45:46,313,995,16.019999999999996,buy,stop
2026-09-12T18:45:46,313,995,14.82,buy,stop
2026-09-12T18:45:46,318,995,15.78,buy,market
2026-09-12T18:45:46,325,995,13.7,buy,market
2026-09-12T18:45:46,325,990,13.7,sell,stop
2026-09-12T18:45:46,327,990,16.61,sell,market
2026-09-12T18:45:46,330,995,19.5,buy,market
2026-09-12T18:45:46,333,990,18.24,sell,market
2026-09-12T18:45:46,333,995,13.099999999999994,buy,stop
2026-09-12T18:45:46,333,996,5.140000000000004,buy,stop
2026-09-12T18:45:46,333,996,17.97,buy,stop
2026-09-12T18:45:46,333,996,16.87,buy,stop
2026-09-12T18:45:46,333,996,1.4700000000000024,buy,stop
2026-09-12T18:45:46,333,997,13.719999999999997,buy,stop
2026-09-12T18:45:46,333,997,15.14,buy,stop
2026-09-12T18:45:46,333,997,3.719999999999999,buy,stop
2026-09-12T18:45:46,333,998,13.89,buy,stop
2026-09-12T18:45:46,333,998,13.69,buy,stop
2026-09-12T18:45:46,333,998,17.28,buy,stop
2026-09-12T18:45:46,333,998,1.1300000000000026,buy,stop
2026-09-12T18:45:46,333,999,18.189999999999998,buy,stop
2026-09-12T18:45:46,333,999,7.140000000000001,buy,stop
2026-09-12T18:45:46,333,1000,2.8099999999999987,buy,stop
2026-09-12T18:45:46,333,1000,7.28,buy,stop
2026-09-12T18:45:46,333,1000,7.44,buy,stop
